醫事機構代碼,醫事機構名稱,醫事機構地址,醫事機構電話,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
5905310853,大力藥局大灣店,台南市永康區大灣路376號1樓,(06)2054292,0,82,2020/02/13 17:58:35
5905310871,晶辰藥局,台南市永康區大灣里民族路396巷1號、3號、398號1樓,(06)2733368,82,122,2020/02/13 17:58:35
5905310880,永東藥局,台南市永康區中山路55號1樓,(06)2318700,32,74,2020/02/13 17:58:35
5905310915,杏安心藥局,台南市永康區六合里中山南路12－1號1樓,(06)3029067,174,178,2020/02/13 17:58:35
5905310924,永仁藥局,台南市永康區永大路二段85號1樓,(06)2730816,126,188,2020/02/13 17:58:35
5905310933,樂馨藥局,台南市永康區中山路85號1樓,(06)2038100,0,20,2020/02/13 17:58:35
5905310942,大樹南灣藥局,台南市永康區大灣路555號1樓,(06)2728822,200,122,2020/02/13 17:58:35
5905310951,合佑藥局,台南市永康區安康里中華路695－2號1樓,(06)3020147,333,236,2020/02/13 17:58:35
5905310960,香柏藥局,台南市永康區東橋七路187號1樓,(06)3027773,10,42,2020/02/13 17:58:35
5905310979,復華藥師藥局,台南市永康區復興里復華一街131號1樓,(06)3123597,0,118,2020/02/13 17:58:35
5905310988,小東藥局,台南市永康區小東路573號1樓,(06)3127169,58,198,2020/02/13 17:58:35
5905310997,新英格蘭藥局,台南市永康區中華路397號1樓,(06)3027648,115,176,2020/02/13 17:58:35
5905311001,和德藥局復國店,台南市永康區復國里復國一路339之7號1樓,(06)2038728,76,134,2020/02/13 17:58:35
5905311010,樂丞藥局,台南市永康區中正北路60號1樓,(06)2433319,94,96,2020/02/13 17:58:35
5905311038,莉志藥局,台南市永康區建國里復國路87巷3號1樓,(06)3123090,110,84,2020/02/13 17:58:35
5905320019,英菩藥局,台南市東區關聖里富農街二段108巷10號1樓,(06)2606723,0,94,2020/02/13 17:58:35
5905320082,鶴龍健保藥局,台南市東區林森路一段190號1樓,(06)2608225,6,204,2020/02/13 17:58:35
5905320091,台和群康藥局,台南市東區崇善路547號1樓,(06)2891360,0,36,2020/02/13 17:58:35
5905320135,安麗兒藥局裕農店,台南市東區裕農路100號1樓,(06)2377378,2,112,2020/02/13 17:58:35
5905320180,恩泉藥局,台南市東區崇明路207號1樓,(06)3352078,206,258,2020/02/13 17:58:35
5905320260,群安健保藥局,台南市東區復興里自由路三段151、153號1樓,(06)2690652,26,58,2020/02/13 17:58:35
5905320279,樂群藥局,台南市東區裕聖里裕義路330號1樓,(06)3316218,6,129,2020/02/13 17:58:35
5905320331,高福藥局,台南市東區大智里德東街168號,(06)2904668,0,94,2020/02/13 17:58:35
5905320368,巴克禮中西藥局,台南市東區中華東路三段377巷8號1樓,(06-)3361100,4,166,2020/02/13 17:58:35
5905320386,倍加藥局,台南市東區中西里東門路一段255號,(06)2364173,6,20,2020/02/13 17:58:35
5905320420,大漢中西藥局,台南市東區崇德里崇明路465號,(06)2908939,18,148,2020/02/13 17:58:35
5905320448,一品健康藥局,台南市東區崇學里崇學路50－1號1樓,(06)2896366,40,173,2020/02/13 17:58:35
5905320466,佑全中華藥局,台南市東區中華東路三段215號,(06)2906386,138,122,2020/02/13 17:58:35
5905320475,美生藥局,台南市東區德高里自由路一段161號1樓,(06)2670035,0,138,2020/02/13 17:58:35
5905320484,和信藥局,台南市東區裕農路27－1號1樓,(06)2348291,69,178,2020/02/13 17:58:35
5905320519,榮恩藥局,台南市東區中華東路二段337號,(06)3350166,64,200,2020/02/13 17:58:35
5905320537,舒惠藥局,台南市東區青年路432－6號1樓,(06)2087052,0,146,2020/02/13 17:58:35
5905320546,佑丞藥局,台南市東區中華東路二段129號,(06)2902709,0,224,2020/02/13 17:58:35
5905320555,崇明台安藥局,台南市東區崇明路304號,(06)2900350,1,146,2020/02/13 17:58:35
5905320564,杏一台南崇德藥局,台南市東區崇德路674號,(06)2671939,0,152,2020/02/13 17:58:35
5905320582,東門啄木鳥藥局,台南市東區東門路三段239號1樓,(06)2884569,28,110,2020/02/13 17:58:35
5905320608,中華台安藥局,台南市東區中華東路一段4號1樓,(06)2092622,88,180,2020/02/13 17:58:35
5905320626,禾田聯合藥局,台南市東區崇明路191號1樓,(06)2892393,114,106,2020/02/13 17:58:35
5905320635,晉大藥局,台南市東區東光里東興路264號1樓,(06)2092580,0,128,2020/02/13 17:58:35
5905320644,崇善藥局,台南市東區崇善路392號1樓,(06)2896619,249,218,2020/02/13 17:58:35
5905320653,東門台安藥局,台南市東區中華東路三段2號1樓,(06)2904377,5,116,2020/02/13 17:58:35
5905320662,台南鼎澄藥局,台南市東區崇明路二十街13號1樓,(06)2908855,0,120,2020/02/13 17:58:35
5905320680,晏佑藥局,台南市東區崇善路438－1號1樓,(06)3358668,112,130,2020/02/13 17:58:35
5905320699,恆大藥局,台南市東區崇明路590號1樓,(06)2905586,0,76,2020/02/13 17:58:35
5905320706,悅橙藥局,台南市東區崇明路459號1樓,(06)2605168,66,214,2020/02/13 17:58:35
5905320715,令和藥局,台南市東區崇善路269號1樓,(06)2673578,13,134,2020/02/13 17:58:35
5905320724,中華崇德藥局,台南市東區中華東路三段181、183號1樓,(06)2880800,410,302,2020/02/13 17:58:35
5905320733,大樹大同藥局,台南市東區大同路二段227、229號1樓,(06)2158700,174,252,2020/02/13 17:58:35
5905330024,聖安健保藥局,台南市南區健康路二段173號1樓,(06)2916898,0,152,2020/02/13 17:58:35
5905330097,千越藥局,台南市南區金華路二段247號,(06)2910303,245,207,2020/02/13 17:58:35
5905330113,進祥藥局,台南市南區文南里健康路2段342－1號1樓,(06)2630571,0,176,2020/02/13 17:58:35
5905330140,亮潔藥師藥局,台南市南區廣州里金華路2段344號,(06)2217306,90,226,2020/02/13 17:58:35
5905330159,勝一藥局,台南市南區省躬里灣裡路90號1樓,(06)2626168,0,110,2020/02/13 17:58:35
5905330168,安鑫藥局,台南市南區大成里健康路一段415號1樓,(06)2645955,0,76,2020/02/13 17:58:35
5905330186,為美藥局,台南市南區大同路二段558－1號,(06)2679315,0,56,2020/02/13 17:58:35
5905330220,合樂藥局,台南市南區灣裡路309號,(06)2625016,208,94,2020/02/13 17:58:35
5905330239,宏祐健保藥局,台南市南區新孝路59號,(06)2632580,1,156,2020/02/13 17:58:35
5905330275,太子藥局大同店,台南市南區大同路二段348號1樓,(06)2158339,1,151,2020/02/13 17:58:35
5905330284,大樹佳華藥局,台南市南區金華路二段129號1樓,(06)2641238,296,236,2020/02/13 17:58:35
5905330300,思元藥局,台南市南區金華路一段486號1樓,(06)2632377,0,158,2020/02/13 17:58:35
5905330337,千薏台安藥局,台南市南區金華路二段2號1樓,(06)2638265,0,134,2020/02/13 17:58:35
5905330346,康而富藥局,台南市南區鹽埕里金華路1段375號1樓,(06)2639373,0,158,2020/02/13 17:58:35
5905330355,明興啄木鳥藥局,台南市南區明興路51號1樓,(06)2620793,200,100,2020/02/13 17:58:35
5905340011,日日康藥局,台南市中西區武聖路137號,(06)2595259,1,132,2020/02/13 17:58:35
5905340020,慶大藥局,台南市中西區民權路二段182號,(06)2251188,111,288,2020/02/13 17:58:35
5905340057,福氣藥局,台南市中西區民族路三段179號1樓,(06)2221590,4,186,2020/02/13 17:58:35
5905340075,麗欣健保藥局,台南市中西區永華路一段194號1樓,(06)2209393,0,250,2020/02/13 17:58:35
5905340137,全心藥局,台南市中西區青年里民權路一段253號1樓,(06)2217536,54,208,2020/02/13 17:58:35
5905340155,東北藥局,台南市中西區福安里西門路二段14號1樓,(06)2226753,0,150,2020/02/13 17:58:35
5905340164,田邊藥局,台南市中西區中正路236號,(06)2200106,0,98,2020/02/13 17:58:35
5905340173,賜安大藥局,台南市中西區光賢里武聖路9號,(06)3589600,0,144,2020/02/13 17:58:35
5905340226,楊藥局,台南市中西區西和路33號1樓,(06)2806353,0,196,2020/02/13 17:58:35
5905340235,人人藥局,台南市中西區和緯路5段197號1樓,(06)3583668,0,84,2020/02/13 17:58:35
5905340253,永華台安藥局,台南市中西區永華路一段184、184－1號1、2、3樓,(06)2225531,60,188,2020/02/13 17:58:35
5905340262,瑞城藥局,台南市中西區赤嵌里忠義路二段176號1樓,(06)2215810,92,212,2020/02/13 17:58:35
5905350017,健盟藥局,台南市北區北安路一段206號1樓,(06)2523988,43,142,2020/02/13 17:58:35
5905350026,良佑堂藥局,台南市北區文賢路299號,(06)2586223,0,108,2020/02/13 17:58:35
5905350035,海安藥師藥局,台南市北區海安路3段902號,(06)2814600,196,150,2020/02/13 17:58:35
5905350062,嘉星藥師大藥局,台南市北區開元路339號1樓,(06)2093737,0,174,2020/02/13 17:58:35
5905350080,長榮健保藥局,台南市北區長榮路4段139號1樓,(06)2757012,292,230,2020/02/13 17:58:35
5905350099,若安藥局,台南市北區開元路103號1樓,(06)2095666,666,280,2020/02/13 17:58:35
5905350133,大昌藥局,台南市北區北安路1段132號1樓,(06)2519121,60,110,2020/02/13 17:58:35
5905350142,佳佳藥局,台南市北區開元路306－1號,(06)2740783,70,244,2020/02/13 17:58:35
5905350151,公園台安藥局,台南市北區公園路840號,(06)2518402,124,172,2020/02/13 17:58:35
5905350179,尚慶藥局,台南市北區西門路四段86號1樓,(06)2511258,254,186,2020/02/13 17:58:35
5905350231,祥好藥局,台南市北區正風里公園路876號1樓,(06)2510366,66,222,2020/02/13 17:58:35
5905350240,健康藥局,台南市北區長榮路5段21號,(06)2003078,6,132,2020/02/13 17:58:35
5905350259,樂森藥局,台南市北區和緯路二段336號1樓,(06)2511338,10,22,2020/02/13 17:58:35
5905350268,宸安藥局,台南市北區光民里成功路436號1樓,(06)2238679,60,190,2020/02/13 17:58:35
5905350302,旻恩藥局,台南市北區公園里北門路二段37－1號,(06)2260590,196,284,2020/02/13 17:58:35
5905350311,美康藥局,台南市北區公園路375－5號,(06)2810311,144,194,2020/02/13 17:58:35
5905350339,育德健康藥局,台南市北區成德里育德路530號,(06)2525360,54,128,2020/02/13 17:58:35
5905350348,晨康藥師藥局,台南市北區公園南路342號1樓,(06)2221090,1,54,2020/02/13 17:58:35
5905350366,千多藥局,台南市北區金華路五段1號,(06)2228641,18,162,2020/02/13 17:58:35
5905350384,北安台安藥局,台南市北區北安路一段163號,(06)2518166,78,106,2020/02/13 17:58:35
5905350393,和緯啄木鳥藥局,台南市北區和緯路2段176號,(06)2519805,0,6,2020/02/13 17:58:35
5905350428,大正藥局,台南市北區公園南路324號1樓,(06)2226899,2,110,2020/02/13 17:58:35
5905350446,杏一藥局台南成大店,台南市北區東豐路155號,(06)2382747,108,236,2020/02/13 17:58:35
5905350455,幼德和緯藥局,台南市北區文元里和緯路3段322號1樓,(06)2584000,4,52,2020/02/13 17:58:35
5905350464,北海藥局,台南市北區華德里海安路三段972號1樓,(06)2525533,0,120,2020/02/13 17:58:35
5905350473,欣依藥局,台南市北區北安路一段259號1樓,(06)2832111,125,40,2020/02/13 17:58:35
5905350482,大欣藥局,台南市北區公園路203號1樓,(06)2236828,0,178,2020/02/13 17:58:35
5905370064,日安藥局,台南市安南區安和路2段269號1樓,(06)3559260,0,86,2020/02/13 17:58:35
5905370073,宜康藥局同安店,台南市安南區同安路235號1樓,(06)2470720,0,12,2020/02/13 17:58:35
5905370135,安南日日康藥局,台南市安南區安和路五段33號,(06)3550995,0,78,2020/02/13 17:58:35
5905370144,仁大藥局,台南市安南區海佃路三段346號1樓,(06)2561777,0,74,2020/02/13 17:58:35
5905370180,安南啄木鳥藥局,台南市安南區安和路一段107號,(06)2821265,0,74,2020/02/13 17:58:35
5905370206,美家藥局,台南市安南區安和路一段352號1樓,(06)2566006,0,78,2020/02/13 17:58:35
5905370215,新安和安東藥局,台南市安南區安東里安和路一段468號,(06)2561204,8,94,2020/02/13 17:58:35
5905370224,上振藥局,台南市安南區安中路三段43號1樓,(06)2551061,0,150,2020/02/13 17:58:35
5905370233,弘昇藥局,台南市安南區鳳凰里安中路一段700巷32號1樓,(06)2567605,0,70,2020/02/13 17:58:35
5905370260,廣道藥局,台南市安南區溪心里海佃路三段218號1樓,(06)2568383,18,122,2020/02/13 17:58:35
5905370279,安昕藥局,台南市安南區安和路一段80號1樓,(06)2827500,2,172,2020/02/13 17:58:35
5905370304,大樹安南藥局,台南市安南區安和路四段557號1樓,(06)3563370,0,38,2020/02/13 17:58:35
5905370322,鳳凰平光中西藥局,台南市安南區鳳凰里安中路一段700巷27號1樓,(06)2565635,0,58,2020/02/13 17:58:35
5905370331,草湖寮王藥局,台南市安南區梅花里安中路一段633號1樓,(06)2465859,0,70,2020/02/13 17:58:35
5905370340,保安康藥局,台南市安南區梅花里安中路一段793號1樓,(06)2552586,26,136,2020/02/13 17:58:35
5905370359,宜康安和藥局,台南市安南區安和路一段68號1樓,(06)2521250,10,130,2020/02/13 17:58:35
5905380015,康馥藥局,台南市安平區華平路545-1號,(06)2998328,25,216,2020/02/13 17:58:35
5905380051,安平藥局,台南市安平區國平路552巷113號1樓,(06)2970551,0,50,2020/02/13 17:58:35
5905380097,宜康永華藥局,台南市安平區國平里永華路二段785號1樓,(06)2930119,0,104,2020/02/13 17:58:35
5905380113,永康藥局永華店,台南市安平區永華路2段702號,(06)2951552,9,160,2020/02/13 17:58:35
5905380122,趙藥師藥局,台南市安平區安北路390號,(06)3915695,15,195,2020/02/13 17:58:35
5905380140,信美藥局,台南市安平區建平里平通路142號1樓,(06)2980142,50,72,2020/02/13 17:58:35
5905380159,永華藥局,台南市安平區永華路二段787－1號,(06)2953618,134,200,2020/02/13 17:58:35
5905380168,恆安藥局,台南市安平區永華路二段845─1號1樓,(06)2951773,429,252,2020/02/13 17:58:35
5905380177,凱順藥局,台南市安平區育平里健康三街39號1樓,(06)2999752,0,135,2020/02/13 17:58:35
5905380195,新高橋藥局台南永華店,台南市安平區華平路279號1樓,(06)2992362,2,90,2020/02/13 17:58:35
5905380239,怡家藥局,台南市安平區國平里華平路146─5號1樓,(06)2970519,366,91,2020/02/13 17:58:35
5905380248,康富聯合藥局,台南市安平區華平路652號1樓,(06)2971960,0,132,2020/02/13 17:58:35
5905380266,永華啄木鳥藥局,台南市安平區文平里永華路二段369號1樓,(06)2985173,0,54,2020/02/13 17:58:35
5907010043,北京藥局文山店,高雄市鳳山區青年路二段367號1．2樓,(07)7676766,0,40,2020/02/13 17:58:35
5907010098,建明藥局,高雄市鳳山區海洋一路122號,(07)7668550,10,112,2020/02/13 17:58:35
5907010141,維安社區藥局,高雄市鳳山區國富路25-1號,(07)7630980,0,150,2020/02/13 17:58:35
5907010150,育英藥局文德店,高雄市鳳山區文德路29號,(07)7777059,4,134,2020/02/13 17:58:35
5907010169,美安藥局,高雄市鳳山區文衡路43號,(07)7993209,3,118,2020/02/13 17:58:35
5907010178,華美藥局,高雄市鳳山區建國路三段161號,(07)7452732,0,106,2020/02/13 17:58:35
5907010187,人人好藥局,高雄市鳳山區五甲三路10巷7號1樓,(07)8151566,0,170,2020/02/13 17:58:35
5907010203,新富丁丁藥局,高雄市鳳山區新富路95號,(07)7156198,1,168,2020/02/13 17:58:35
5907010212,北京藥局中崙店,高雄市鳳山區中崙四路16號1樓,(07)7550655,7,28,2020/02/13 17:58:35
5907010267,禾康藥局,高雄市鳳山區瑞竹路16號1樓,(07)7997139,199,214,2020/02/13 17:58:35
5907010276,愛家社區藥局,高雄市鳳山區福德街141號,(07)8123698,0,130,2020/02/13 17:58:35
5907010285,康盈藥局,高雄市鳳山區鳳林路260號1樓,(07)7820968,45,166,2020/02/13 17:58:35
5907010301,高大藥局,高雄市鳳山區南華路182號,(07)7718671,2,168,2020/02/13 17:58:35
5907010365,科健藥局,高雄市鳳山區八德路246－5號1樓,(07)7777868,16,160,2020/02/13 17:58:35
5907010409,好郝藥局,高雄市鳳山區武松里經武路178號1樓,(07)7468840,0,86,2020/02/13 17:58:35
5907010427,好郝藥局鳳林店,高雄市鳳山區誠智里鳳林路290號,(07)7869188,0,196,2020/02/13 17:58:35
5907010454,上泰健保藥局,高雄市鳳山區鎮西里中華街27號1樓,(07)7455127,2,150,2020/02/13 17:58:35
5907010525,長青連鎖藥局光遠店,高雄市鳳山區光遠路271號1樓,(07)7103487,270,172,2020/02/13 17:58:35
5907010534,真健康藥局,高雄市鳳山區五福里五甲三路55號,(07)8232828,19,138,2020/02/13 17:58:35
5907010669,鳳山好心藥局,高雄市鳳山區文濱路198號1樓,(07)7779285,80,170,2020/02/13 17:58:35
5907010721,維新藥局,高雄市鳳山區維新路101。103號1樓,(07)7411694,0,168,2020/02/13 17:58:35
5907010730,鳳山啄木鳥藥局,高雄市鳳山區善美里保泰路336號1樓,(07)7162314,3,20,2020/02/13 17:58:35
5907010810,志全藥局,高雄市鳳山區五福里五甲三路121巷1號,(07)7688986,0,134,2020/02/13 17:58:35
5907010829,光遠藥局,高雄市鳳山區三民里光遠路258號1樓,(07)7419780,18,72,2020/02/13 17:58:35
5907010883,大樹五甲藥局,高雄市鳳山區福祥里五甲三路24號1樓及2樓、26號1樓及2樓,(07)8224926,194,132,2020/02/13 17:58:35
5907010927,元元鳳山藥局,高雄市鳳山區一甲里五甲二路348之1號1樓,(07)7529595,8,190,2020/02/13 17:58:35
5907010936,鳳山全民藥局,高雄市鳳山區中正里瑞興路380巷8號,(07)7037078,42,266,2020/02/13 17:58:35
5907010945,光田藥局,高雄市鳳山區鎮東里光遠路95號1樓,(07)7460773,36,202,2020/02/13 17:58:35
5907010963,喬生藥局,高雄市鳳山區文福里文建街178、180號,(07)7803366,26,102,2020/02/13 17:58:35
5907010981,康是美五甲藥局,高雄市鳳山區鎮南里五甲二路752號1至2樓、754號1至2樓,(07)8121586,0,128,2020/02/13 17:58:35
5907011004,永豐久億藥局,高雄市鳳山區和興里五甲一路11號1樓,(07)7104281,0,174,2020/02/13 17:58:35
5907011031,德安藥局,高雄市鳳山區文衡里文衡路295號1樓,(07)7805249,0,196,2020/02/13 17:58:35
5907011040,伊甸藥師藥局文化店,高雄市鳳山區文福里文化西路11號1樓,(07)7776002,0,4,2020/02/13 17:58:35
5907011068,新高橋藥局文龍東店,高雄市鳳山區鎮北里文龍東路310號,(07)7353946,36,15,2020/02/13 17:58:35
5907011086,長青連鎖藥局中山西店,高雄市鳳山區忠義里中山西路376－7號1樓,(07)7197787,126,262,2020/02/13 17:58:35
5907011095,鳳山五甲藥局,高雄市鳳山區正義里五甲二路139號1樓,(07)7269899,200,204,2020/02/13 17:58:35
5907011102,鳳山佑安藥局,高雄市鳳山區東門里中山東路166號1樓,(07)7030333,200,162,2020/02/13 17:58:35
5907011111,壹然藥局,高雄市鳳山區中正里瑞興路482號1樓,(07)7014755,0,164,2020/02/13 17:58:35
5907011139,杏樹林藥局,高雄市鳳山區中和里自由路430號1樓,(07)7101118,220,210,2020/02/13 17:58:35
5907011148,大樹國泰藥局,高雄市鳳山區興仁里五甲一路292號,(07)7407234,222,172,2020/02/13 17:58:35
5907011166,佑全鳳山藥局,高雄市鳳山區文德里青年路二段463號1－2樓,(07)7801568,79,156,2020/02/13 17:58:35
5907011175,鳳西藥局,高雄市鳳山區忠義里中山西路238號1樓,(07)7902717,302,234,2020/02/13 17:58:35
5907011184,肉豆公藥局南榮店,高雄市鳳山區善美里南榮路169號1樓,(07)7278385,0,144,2020/02/13 17:58:35
5907011193,新高橋藥局新富店,高雄市鳳山區新泰里新富路428號1樓,(07)9630233,2,50,2020/02/13 17:58:35
5907011200,和成藥局,高雄市鳳山區南成里和成路65號1樓,(07)7961566,4,28,2020/02/13 17:58:35
5907011219,協康健保藥局,高雄市鳳山區瑞竹里博愛路215號1樓,(07)7199259,0,142,2020/02/13 17:58:35
5907011228,鳳山青年藥局,高雄市鳳山區文德里青年路二段399號1樓,(07)7678383,272,186,2020/02/13 17:58:35
5907011237,凱旋藥局,高雄市鳳山區國隆里新富路373號1樓,(07)7671182,2,156,2020/02/13 17:58:35
5907011264,新高橋藥局青年店,高雄市鳳山區文衡里青年路二段289號1樓,(07)7676179,46,102,2020/02/13 17:58:35
5907011273,鳳山服安藥局,高雄市鳳山區忠義里中山西路380號1樓,(07)7406330,1,122,2020/02/13 17:58:35
5907011291,桂林活力藥師藥局鳳山店,高雄市鳳山區中正里瑞興路488號1樓,(07)7012827,0,96,2020/02/13 17:58:35
5907011308,文龍藥局,高雄市鳳山區鎮北里文龍東路355號1樓,(07)7407638,498,138,2020/02/13 17:58:35
5907020021,柏康藥局,高雄市岡山區壽天路22號,(07)6241688,0,32,2020/02/13 17:58:35
5907020030,鑫德昌藥局,高雄市岡山區溪東路38號1樓,(07)6233338,0,44,2020/02/13 17:58:35
5907030072,旗美藥局,高雄市旗山區東平里延平二路41號,(07)6629839,19,164,2020/02/13 17:58:35
5907030090,睛好活力藥局,高雄市旗山區湄洲里中山路127號,(07)6625119,1,126,2020/02/13 17:58:35
5907030107,大同藥局,高雄市旗山區大德里大同街13號1樓,(07)6611336,318,248,2020/02/13 17:58:35
5907030116,樂寧藥局,高雄市旗山區大德里大同街17號,(07)6622689,0,162,2020/02/13 17:58:35
5907030125,旗山藥局,高雄市旗山區中華路23號,(07)6621158,292,222,2020/02/13 17:58:35
5907040014,寶樹藥局,高雄市美濃區中山路1段88號,(07)6812323,0,112,2020/02/13 17:58:35
5907040023,大佳藥局,高雄市美濃區獅山里中華路59－7號,(07)6852988,0,152,2020/02/13 17:58:35
5907050010,新朋友藥師連鎖藥局,高雄市林園區東林東路44號,(07)6460588,0,89,2020/02/13 17:58:35
5907050029,林園健人藥師藥局,高雄市林園區林園北路372號,(07)6421598,0,38,2020/02/13 17:58:35
5907050056,晉升益藥局,高雄市林園區文賢里沿海路3段150號1樓,(07)6425665,28,98,2020/02/13 17:58:35
5907050065,林園啄木鳥藥局,高雄市林園區鳳林路二段803號1樓,(07)6414772,1,2,2020/02/13 17:58:35
5907050074,林園藥局,高雄市林園區仁愛路13號1樓,(07)6425855,198,122,2020/02/13 17:58:35
5907060043,永成專業藥師藥局,高雄市大寮區中興里鳳林四路62號,(07)7816221,0,192,2020/02/13 17:58:35
5907060098,佳和健保藥局,高雄市大寮區鳳林三路512號,(07)7821500,0,32,2020/02/13 17:58:35
5907060132,大承藥局,高雄市大寮區鳳屏一路466號1樓,(07)7013225,0,156,2020/02/13 17:58:35
5907060178,鴻安藥局,高雄市大寮區鳳林三路391、393號1樓,(07)7835956,0,32,2020/02/13 17:58:35
5907060187,桂林活力藥師藥局鳳林店,高雄市大寮區山頂里鳳林三路823˙825號1樓,(07)7912331,0,28,2020/02/13 17:58:35
5907060212,仁德健保藥局,高雄市大寮區內坑里仁德新村1號1樓,(07)7885003,302,219,2020/02/13 17:58:35
5907060221,淑德健保藥局,高雄市大寮區內坑里淑德新村1號3樓,(07)7923556,0,252,2020/02/13 17:58:35
5907060230,華思中西藥局,高雄市大寮區永芳里進學路122號1樓,(07)7835567,0,172,2020/02/13 17:58:35
5907070012,舒康藥師藥局,高雄市大樹區久堂路129號,(07)6520268,0,86,2020/02/13 17:58:35
5907070021,大和藥局,高雄市大樹區久堂路149號,(07)6526412,0,203,2020/02/13 17:58:35
5907080018,春天藥局,高雄市仁武區仁雄路98－10號,(07)3721428,70,166,2020/02/13 17:58:35
5907080081,英祥連鎖藥局仁雄店,高雄市仁武區仁雄路36之2號,(07)3722509,20,184,2020/02/13 17:58:35
5907080125,仁武丁丁藥局,高雄市仁武區仁和里鳳仁路21之8號,(07)3721896,0,38,2020/02/13 17:58:35
5907080134,好心藥局,高雄市仁武區中正路299號1樓,(07)3728985,0,134,2020/02/13 17:58:35
5907080170,鴻州藥局,高雄市仁武區八卦里八德西路2298號1樓,(07)3752888,0,70,2020/02/13 17:58:35
5907080189,德昌藥局仁雄店,高雄市仁武區灣內里仁雄路38、38－1、38－2號,(07)3749166,0,80,2020/02/13 17:58:35
5907080214,新高橋藥局八德中店,高雄市仁武區八卦里八德中路86、88、90號,(07)3485857,2,66,2020/02/13 17:58:35
5907080223,新高橋藥局仁雄店,高雄市仁武區赤山里仁雄路89－3號,(07)3485857,4,34,2020/02/13 17:58:35
5907080232,大樹仁武藥局,高雄市仁武區赤山里仁雄路80－9號,(07)3744777,205,180,2020/02/13 17:58:35
5907080250,仁同藥局,高雄市仁武區八卦里永仁街706號1樓,(07)3736142,0,58,2020/02/13 17:58:35
5907080269,興德昌藥局,高雄市仁武區文武里中華路232號,(07)6250942,0,40,2020/02/13 17:58:35
5907080278,博適倫藥局,高雄市仁武區八卦里永仁街265號1樓,(07)3755708,94,98,2020/02/13 17:58:35
5907080296,新四季藥局,高雄市仁武區仁慈里仁慈路190號1樓,(07)7333606,0,62,2020/02/13 17:58:35
5907090032,上鼎藥師健保藥局,高雄市大社區中山路423號,(07)3531053,0,76,2020/02/13 17:58:35
5907090069,德泰健保藥局,高雄市大社區大新路35之1號1樓,(07)3524296,0,40,2020/02/13 17:58:35
5907090087,安泰專業藥師藥局,高雄市大社區中山路267號1樓,(07)3553715,2,42,2020/02/13 17:58:35
5907090121,新高橋藥局大社店,高雄市大社區中山路277號1樓,(07)3485857,0,16,2020/02/13 17:58:35
5907090130,大樹大社藥局,高雄市大社區中山路308號1樓,(07)3531682,8,100,2020/02/13 17:58:35
5907100088,本館藥局,高雄市鳥松區大華里本館路190號1樓,(07)3707655,0,160,2020/02/13 17:58:35
5907110048,和德藥局橋頭店,高雄市橋頭區橋南路116－1號,(07)6113580,14,170,2020/02/13 17:58:35
5907110066,安麗兒藥局橋頭店,高雄市橋頭區隆豐路148號,(07)6111209,8,60,2020/02/13 17:58:35
5907110075,言安藥局,高雄市橋頭區樹德路65號,(07)6110719,0,46,2020/02/13 17:58:35
5907110093,順和藥局,高雄市橋頭區仕豐路5號,(07)6118688,0,4,2020/02/13 17:58:35
5907110146,民權藥局,高雄市橋頭區橋頭里28鄰成功路227號1樓－229號1樓,(07)6113632,0,60,2020/02/13 17:58:35
5907110155,丁丁藥局橋頭店,高雄市橋頭區成功南路148巷3號,(07)6113633,1,83,2020/02/13 17:58:35
5907120017,和德藥局燕巢店,高雄市燕巢區西燕里中民路628號,(07)6143499,0,20,2020/02/13 17:58:35
5907120026,安康健保藥局,高雄市燕巢區中興路8號,(07)6141103,4,84,2020/02/13 17:58:35
5907140019,佑聖健保藥局,高雄市阿蓮區民生路79號,(07)6321516,0,60,2020/02/13 17:58:35
5907140108,德昌藥局阿蓮店,高雄市阿蓮區阿蓮里中正路456號,(07)6318868,0,32,2020/02/13 17:58:35
5907140117,悅安藥局,高雄市阿蓮區和蓮里信義路111號,(07)6319632,0,118,2020/02/13 17:58:35
5907140126,天德藥局阿蓮店,高雄市阿蓮區南蓮里忠孝路168、170號,(07)6311566,4,46,2020/02/13 17:58:35
5907150024,安麗兒藥局路竹店,高雄市路竹區大社路51號1樓,(07)6071699,0,50,2020/02/13 17:58:35
5907150060,大社藥局,高雄市路竹區大社路29號,(07)6076686,80,110,2020/02/13 17:58:35
5907150097,金德昌藥師藥局,高雄市路竹區大社路90之6號,(07)6978143,0,34,2020/02/13 17:58:35
5907150202,永昌藥局,高雄市路竹區延平路81號,(07)6964321,1,15,2020/02/13 17:58:35
5907150220,天德藥局路竹店,高雄市路竹區忠孝路26－2、26－3號1樓,(07)6975656,0,10,2020/02/13 17:58:35
5907150239,固德藥局,高雄市路竹區金平路312號,(07)6978641,0,14,2020/02/13 17:58:35
5907150248,宗明藥局路竹店,高雄市路竹區中正路106－1號1樓,(07)6962391,0,4,2020/02/13 17:58:35
5907160020,振裕藥局,高雄市湖內區逸賢里保生路553號,(07)6995796,0,24,2020/02/13 17:58:35
5907160039,華安藥局,高雄市湖內區中山路一段451－19號,(07)6938208,1,26,2020/02/13 17:58:35
5907160048,吉成藥局,高雄市湖內區太爺里中正路1段12號,(07)6993681,0,110,2020/02/13 17:58:35
